Day,CO2,Index,Date
1,1419.76,1,01 January 2024
2,1181.21,2,02 January 2024
3,1006.13,3,03 January 2024
4,1355.55,4,04 January 2024
5,1036.18,5,05 January 2024
6,1348.55,6,06 January 2024
7,1394.09,7,07 January 2024
8,1283.48,8,08 January 2024
9,1262.66,9,09 January 2024
10,1435.7,10,10 January 2024
11,1380.05,11,11 January 2024
12,1365.99,12,12 January 2024
13,1368.4,13,13 January 2024
14,1289.75,14,14 January 2024
15,1312.96,15,15 January 2024
16,1433.56,16,16 January 2024
17,1295.94,17,17 January 2024
18,1363.2,18,18 January 2024
19,1496.78,19,19 January 2024
20,1499.16,20,20 January 2024
21,1164.64,21,21 January 2024
22,1174.31,22,22 January 2024
23,1275.67,23,23 January 2024
24,1211.97,24,24 January 2024
25,1333.29,25,25 January 2024
26,1382.23,26,26 January 2024
27,1338.77,27,27 January 2024
28,1364.29,28,28 January 2024
29,1158.49,29,29 January 2024
30,1290.34,30,30 January 2024
31,1158.7,31,31 January 2024
32,1044.08,32,01 February 2024
33,1400.85,33,02 February 2024
34,1447.11,34,03 February 2024
35,1115.94,35,04 February 2024
36,1420.5,36,05 February 2024
37,1438.78,37,06 February 2024
38,1429.5,38,07 February 2024
39,1397.23,39,08 February 2024
40,1083.07,40,09 February 2024
41,1117.49,41,10 February 2024
42,1424.79,42,11 February 2024
43,1011.29,43,12 February 2024
44,1270.44,44,13 February 2024
45,1348.22,45,14 February 2024
46,1118.98,46,15 February 2024
47,1386.63,47,16 February 2024
48,1465.58,48,17 February 2024
49,1018.88,49,18 February 2024
50,1053.69,50,19 February 2024
51,1445.59,51,20 February 2024
52,1064.81,52,21 February 2024
53,1285.47,53,22 February 2024
54,1171.9,54,23 February 2024
55,1398.33,55,24 February 2024
56,1223.33,56,25 February 2024
57,1109.27,57,26 February 2024
58,1031.44,58,27 February 2024
59,1341.82,59,28 February 2024
60,1053.19,60,29 February 2024
61,1293.11,61,01 March 2024
62,1337.83,62,02 March 2024
63,1421.53,63,03 March 2024
64,1420.78,64,04 March 2024
65,1301.27,65,05 March 2024
66,1486.06,66,06 March 2024
67,1447.46,67,07 March 2024
68,1309.72,68,08 March 2024
69,1107.0,69,09 March 2024
70,1187.7,70,10 March 2024
71,1302.27,71,11 March 2024
72,1483.6,72,12 March 2024
73,1443.31,73,13 March 2024
74,1257.88,74,14 March 2024
75,1368.42,75,15 March 2024
76,1069.6,76,16 March 2024
